2024-03-20 23:09:12 | INFO | model_worker | args: Namespace(host='0.0.0.0', port=40000, worker_address='http://localhost:40000', controller_address='http://localhost:10000', model_path='/mnt/workspace/llava/models/AI-ModelScope/llava-v1___6-34b', model_base=None, model_name=None, device='cuda', multi_modal=False, limit_model_concurrency=5, stream_interval=1, no_register=False, load_8bit=False, load_4bit=False, use_flash_attn=False)
2024-03-20 23:09:12 | INFO | model_worker | Loading the model llava-v1___6-34b on worker e052cd ...
2024-03-20 23:09:12 | WARNING | transformers.configuration_utils | You are using a model of type llava to instantiate a model of type llava_llama. This is not supported for all configurations of models and can yield errors.
2024-03-20 23:09:12 | WARNING | transformers.configuration_utils | You are using a model of type llava to instantiate a model of type llava_llama. This is not supported for all configurations of models and can yield errors.
2024-03-20 23:09:22 | ERROR | stderr | Traceback (most recent call last):
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/urllib3/connection.py", line 198, in _new_conn
2024-03-20 23:09:22 | ERROR | stderr |     sock = connection.create_connection(
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/urllib3/util/connection.py", line 85, in create_connection
2024-03-20 23:09:22 | ERROR | stderr |     raise err
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/urllib3/util/connection.py", line 73, in create_connection
2024-03-20 23:09:22 | ERROR | stderr |     sock.connect(sa)
2024-03-20 23:09:22 | ERROR | stderr | OSError: [Errno 101] Network is unreachable
2024-03-20 23:09:22 | ERROR | stderr | 
2024-03-20 23:09:22 | ERROR | stderr | The above exception was the direct cause of the following exception:
2024-03-20 23:09:22 | ERROR | stderr | 
2024-03-20 23:09:22 | ERROR | stderr | Traceback (most recent call last):
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/urllib3/connectionpool.py", line 793, in urlopen
2024-03-20 23:09:22 | ERROR | stderr |     response = self._make_request(
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/urllib3/connectionpool.py", line 491, in _make_request
2024-03-20 23:09:22 | ERROR | stderr |     raise new_e
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/urllib3/connectionpool.py", line 467, in _make_request
2024-03-20 23:09:22 | ERROR | stderr |     self._validate_conn(conn)
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/urllib3/connectionpool.py", line 1099, in _validate_conn
2024-03-20 23:09:22 | ERROR | stderr |     conn.connect()
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/urllib3/connection.py", line 616, in connect
2024-03-20 23:09:22 | ERROR | stderr |     self.sock = sock = self._new_conn()
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/urllib3/connection.py", line 213, in _new_conn
2024-03-20 23:09:22 | ERROR | stderr |     raise NewConnectionError(
2024-03-20 23:09:22 | ERROR | stderr | urllib3.exceptions.NewConnectionError: <urllib3.connection.HTTPSConnection object at 0x7fbd8b75a650>: Failed to establish a new connection: [Errno 101] Network is unreachable
2024-03-20 23:09:22 | ERROR | stderr | 
2024-03-20 23:09:22 | ERROR | stderr | The above exception was the direct cause of the following exception:
2024-03-20 23:09:22 | ERROR | stderr | 
2024-03-20 23:09:22 | ERROR | stderr | Traceback (most recent call last):
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/requests/adapters.py", line 486, in send
2024-03-20 23:09:22 | ERROR | stderr |     resp = conn.urlopen(
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/urllib3/connectionpool.py", line 847, in urlopen
2024-03-20 23:09:22 | ERROR | stderr |     retries = retries.increment(
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/urllib3/util/retry.py", line 515, in increment
2024-03-20 23:09:22 | ERROR | stderr |     raise MaxRetryError(_pool, url, reason) from reason  # type: ignore[arg-type]
2024-03-20 23:09:22 | ERROR | stderr | urllib3.exceptions.MaxRetryError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /openai/clip-vit-large-patch14-336/resolve/main/preprocessor_config.json (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fbd8b75a650>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-03-20 23:09:22 | ERROR | stderr | 
2024-03-20 23:09:22 | ERROR | stderr | During handling of the above exception, another exception occurred:
2024-03-20 23:09:22 | ERROR | stderr | 
2024-03-20 23:09:22 | ERROR | stderr | Traceback (most recent call last):
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/huggingface_hub/file_download.py", line 1261, in hf_hub_download
2024-03-20 23:09:22 | ERROR | stderr |     metadata = get_hf_file_metadata(
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py", line 118, in _inner_fn
2024-03-20 23:09:22 | ERROR | stderr |     return fn(*args, **kwargs)
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/huggingface_hub/file_download.py", line 1667, in get_hf_file_metadata
2024-03-20 23:09:22 | ERROR | stderr |     r = _request_wrapper(
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/huggingface_hub/file_download.py", line 385, in _request_wrapper
2024-03-20 23:09:22 | ERROR | stderr |     response = _request_wrapper(
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/huggingface_hub/file_download.py", line 408, in _request_wrapper
2024-03-20 23:09:22 | ERROR | stderr |     response = get_session().request(method=method, url=url, **params)
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/requests/sessions.py", line 589, in request
2024-03-20 23:09:22 | ERROR | stderr |     resp = self.send(prep, **send_kwargs)
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/requests/sessions.py", line 703, in send
2024-03-20 23:09:22 | ERROR | stderr |     r = adapter.send(request, **kwargs)
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/huggingface_hub/utils/_http.py", line 67, in send
2024-03-20 23:09:22 | ERROR | stderr |     return super().send(request, *args, **kwargs)
2024-03-20 23:09:22 | ERROR | stderr |   File "/opt/conda/envs/llava/lib/python3.10/site-packages/requests/adapters.py", line 519, in send
2024-03-20 23:09:22 | ERROR | stderr |     raise ConnectionError(e, request=request)
